abdominal	abdominalt
betimelig	betimelig
betinga	betinga
betinget	betinget
betrengt	betrengt
betrodd	betrodd
betutta	betutta
betuttet	betuttet
betydelig	betydelig
bevandra	bevandra
bevandret	bevandret
bevart	bevart
bevegelig	bevegelig
beveget	beveget
bevendt	bevendt
bevinga	bevinga
bevinget	bevinget
beviselig	beviselig
bevislig	bevislig
bevisst	bevisst
bevokst	bevokst
bevågen	bevågent
beånda	beånda
beåndet	beåndet
bhutansk	bhutansk
biafransk	biafransk
bibliofil	bibliofilt
biblioman	bibliomant
bidig	bidig
biennal	biennalt
biff	biff
bifokal	bifokalt
bigam	bigamt
bigott	bigott
bikonkav	bikonkavt
bikonveks	bikonvekst
bilabial	bilabialt
bilateral	bilateralt
bildende	bildende
bilderik	bilderikt
bilfrelst	bilfrelst
bilfri	bilfritt
bilgal	bilgalt
bilingv	bilingv
bilingval	bilingvalt
billedlig	billedlig
billedrik	billedrikt
billig	billig
bilsjuk	bilsjukt
bilsyk	bilsykt
bimedial	bimedialt
bimodal	bimodalt
binokular	binokulart
binokulær	binokulært
binomial	binomialt
binomisk	binomisk
binær	binært
biofysisk	biofysisk
biogen	biogent
biologisk	biologisk
biotisk	biotisk
bipolar	bipolart
bisarr	bisart
bisk	biskt
bisnelig	bisnelig
bispelig	bispelig
bister	bistert
biten	bitent
bitende	bitende
bitter	bittert
bitterste	bitterste
bittersøt	bittersøtt
bivalent	bivalent
bladforma	bladforma
bladlaus	bladlaust
bladløs	bladløst
bladtynn	bladtynt
blakk	blakt
blanda	blanda
blandbar	blandbart
blandet	blandet
blank	blankt
blankøyd	blankøyd
blasert	blasert
blass	blast
blatant	blatant
blaut	blautt
blautkokt	blautkokt
bleik	bleikt
bleikblå	bleikblått
bleikbrun	bleikbrunt
bleikfeit	bleikfeitt
bleikfet	bleikfett
bleikgul	bleikgult
bleikrosa	bleikrosa
bleikrød	bleikrødt
blek	blekt
blekblå	blekblått
blekbrun	blekbrunt
blekfeit	blekfeitt
blekfet	blekfett
blekgul	blekgult
blekket	blekket
blekkete	blekkete
bleknebba	bleknebba
blekrosa	blekrosa
blekrød	blekrødt
blemmet	blemmet
blemmete	blemmete
blendende	blendende
blendfri	blendfritt
blid	blidt
blidlåten	blidlåtent
blind	blindt
blingset	blingset
blingsete	blingsete
blivende	blivende
blodet	blodet
blodete	blodete
blodfarga	blodfarga
blodfersk	blodferskt
blodfull	blodfullt
blodfylt	blodfylt
blodig	blodig
blodlaus	blodlaust
blodløs	blodløst
blodrik	blodrikt
blodrød	blodrødt
blodskutt	blodskutt
blommet	blommet
blommete	blommete
blomstret	blomstret
blond	blondt
blott	blott
blubbet	blubbet
blubbete	blubbete
bluferdig	bluferdig
blussende	blussende
blyfri	blyfritt
blyg	blygt
blygrå	blygrått
blygsam	blygsamt
blyholdig	blyholdig
blytung	blytungt
blåaktig	blåaktig
blåblank	blåblankt
blåbleik	blåbleikt
blåblek	blåblekt
blåblå	blåblått
blågrå	blågrått
blågrønn	blågrønt
blågul	blågult
blåhard	blåhardt
blåhvit	blåhvitt
blåhåra	blåhåra
blåhåret	blåhåret
blåkledd	blåkledd
blåkvit	blåkvitt
blålig	blålig
blålilla	blålilla
blåmalt	blåmalt
blånøye	blånøye
blårød	blårødt
blåsort	blåsort
blåst	blåst
blåsur	blåsurt
blåsvart	blåsvart
blåøyd	blåøyd
blæret	blæret
blærete	blærete
bløt	bløtt
bløtaktig	bløtaktig
bløtkokt	bløtkokt
boblende	boblende
boblet	boblet
boblete	boblete
bofast	bofast
bogeforma	bogeforma
bogenerva	bogenerva
bohemsk	bohemsk
boklig	boklig
boklærd	boklærd
bokmålsk	bokmålsk
bold	boldt
bolkevis	bolkevis
bomfast	bomfast
bomfri	bomfritt
bomsikker	bomsikkert
bomsterk	bomsterkt
bomstille	bomstille
bondeblå	bondeblått
bondeful	bondefult
bondefødt	bondefødt
bondsk	bondsk
boolsk	boolsk
boreal	borealt
borgerlig	borgerlig
borket	borket
borkete	borkete
bornert	bornert
bortdømt	bortdømt
borterst	borterst
bortest	bortest
bortgjemt	bortgjemt
bortgjømt	bortgjømt
bortglemt	bortglemt
bortglømt	bortglømt
bortkasta	bortkasta
bortleid	bortleid
bortløpen	bortløpent
bortreist	bortreist
bosatt	bosatt
bosnisk	bosnisk
bosset	bosset
bossete	bossete
botanisk	botanisk
botferdig	botferdig
botnfast	botnfast
botnlaus	botnlaust
botnløs	botnløst
botswansk	botswansk
brakk	brakt
brakklagt	brakklagt
bramansk	bramansk
bramfri	bramfritt
bramfull	bramfullt
braminsk	braminsk
brannet	brannet
brannete	brannete
brannfast	brannfast
branngul	branngult
brannrød	brannrødt
bratt	bratt
brav	bravt
brechtsk	brechtsk
bred	bredt
bredbeint	bredbeint
bredbent	bredbent
bredbygd	bredbygd
breddfull	breddfullt
bredspora	bredspora
bredvokst	bredvokst
bregrønn	bregrønt
brei	breit
breiaksla	breiaksla
breial	breialt
breibeint	breibeint
breibent	breibent
breibygd	breibygd
breikinna	breikinna
breirygga	breirygga
breispora	breispora
breivokst	breivokst
brennbar	brennbart
brennende	brennende
brennfort	brennfort
brenngod	brenngodt
brennhard	brennhardt
brennheit	brennheitt
brennhet	brennhett
brennkald	brennkaldt
brennrød	brennrødt
brennsnar	brennsnart
brennvarm	brennvarmt
brestlaus	brestlaust
bretagnsk	bretagnsk
bretonsk	bretonsk
brevlig	brevlig
briljant	briljant
brillefin	brillefint
brisant	brisant
brisen	brisent
bristfri	bristfritt
britisk	britisk
brittonsk	brittonsk
brodden	broddent
broderlig	broderlig
broket	broket
brokete	brokete
brokksyk	brokksykt
bronkial	bronkialt
brudden	bruddent
bruddfast	bruddfast
brukbar	brukbart
brukelig	brukelig
brukken	brukket
brukket	brukket
bruksnær	bruksnært
brukt	brukt
brun	brunt
brunaktig	brunaktig
brunbarka	brunbarka
brunbrent	brunbrent
bruneisk	bruneisk
brunfarga	brunfarga
brungrå	brungrått
brungrønn	brungrønt
brungul	brungult
brunhvit	brunhvitt
brunlig	brunlig
brunmalt	brunmalt
brunrosa	brunrosa
brunrød	brunrødt
brunstig	brunstig
brunsvart	brunsvart
brunsvidd	brunsvidd
brunøyd	brunøyd
brusket	brusket
bruskete	bruskete
brusten	brustent
brut	brut
brutal	brutalt
brutto	brutto
brydd	brydd
brysk	bryskt
brysom	brysomt
brytbar	brytbart
brådjup	brådjupt
brådyp	brådypt
bråfort	bråfort
bråket	bråket
bråkete	bråkete
bråkjekk	bråkjekt
brålik	brålikt
bråmoden	bråmodent
bråsinna	bråsinna
bråsint	bråsint
bråsnar	bråsnart
bråvakker	bråvakkert
brødefull	brødefullt
brødlaus	brødlaust
brødløs	brødløst
buden	budent
bueforma	bueforma
bueformet	bueformet
buenerva	buenerva
buenervet	buenervet
buet	buet
bufast	bufast
buklet	buklet
buklete	buklete
bukolisk	bukolisk
buktet	buktet
buktete	buktete
bulet	bulet
bulete	bulete
bulgarsk	bulgarsk
bulket	bulket
bulkete	bulkete
bumset	bumset
bumsete	bumsete
bunden	bundet
bundet	bundet
bunnfalsk	bunnfalskt
bunnfast	bunnfast
bunnlaus	bunnlaust
bunnløs	bunnløst
bunnsolid	bunnsolid
burkinsk	burkinsk
burlesk	burlesk
burmesisk	burmesisk
bursjikos	bursjikos
burundisk	burundisk
busatt	busatt
busket	busket
buskete	buskete
bustet	bustet
bustete	bustete
butt	butt
buttet	buttet
buttete	buttete
bydende	bydende
byget	byget
bygete	bygete
byggeklar	byggeklart
bymessig	bymessig
bynær	bynært
byrdefull	byrdefullt
byrg	byrgt
bysantisk	bysantisk
byttbar	byttbart
båret	båret
bårete	bårete
båtforma	båtforma
båtformet	båtformet
båtfrelst	båtfrelst
båtvant	båtvant
bæraktig	bæraktig
bærbar	bærbart
bøhmisk	bøhmisk
bølget	bølget
bølgete	bølgete
bøllet	bøllet
bøllete	bøllete
bønnlig	bønnlig
børsten	børstent
bøsset	bøsset
bøssete	bøssete
bøyefast	bøyefast
bøyelig	bøyelig
bøyet	bøyet
bøyete	bøyete
camp	camp
canadisk	canadisk
cash	cash
celeber	celebert
celest	celest
cellular	cellulart
cellulær	cellulært
cendre	cendre
cerebral	cerebralt
ceylonsk	ceylonsk
changeant	changeant
chic	chict
chilensk	chilensk
corny	corny
crazy	crazy
creolsk	creolsk
cubansk	cubansk
cyklamen	cyklamen
cystisk	cystisk
cæsarisk	cæsarisk
cøliakisk	cøliakisk
daddelløs	daddelløst
daff	daft
dagfast	dagfast
dagfersk	dagferskt
daggammal	daggammalt
daggammel	daggammelt
dagklar	dagklart
daglang	daglangt
daglig	daglig
dagsens	dagsens
dagsfersk	dagsferskt
dagslys	dagslys
dagvill	dagvilt
dagviss	dagvisst
daktylisk	daktylisk
dalet	dalet
dalete	dalete
dalevende	dalevende
dalmatisk	dalmatisk
dandy	dandy
danna	danna
dannet	dannet
dansbar	dansbart
dansegal	dansegalt
danseglad	danseglad
dansk	dansk
danskbygd	danskbygd
danskfødt	danskfødt
datastyrt	datastyrt
datidig	datidig
datterlig	datterlig
daud	daudt
daudbleik	daudbleikt
daudfødt	daudfødt
daustekt	daustekt
daværende	daværende
debil	debilt
dedikert	dedikert
deduktiv	deduktivt
defekt	defekt
defensiv	defensivt
definitiv	definitivt
deform	deformt
degressiv	degressivt
deiget	deiget
deigete	deigete
deiktisk	deiktisk
deilig	deilig
deistisk	deistisk
dekadent	dekadent
dekadisk	dekadisk
dekkende	dekkende
dekkfrøa	dekkfrøa
dekkfrøet	dekkfrøet
dekorativ	dekorativt
delaktig	delaktig
delbar	delbart
delegert	delegert
deleid	deleid
delelig	delelig
delikat	delikat
delirant	delirant
delirisk	delirisk
delvis	delvis
dement	dement
demonisk	demonisk
denotativ	denotativt
denslags	denslags
dental	dentalt
deponent	deponent
deppa	deppa
deppet	deppet
depressiv	depressivt
deprimert	deprimert
deputert	deputert
derangert	derangert
derivativ	derivativt
dermal	dermalt
derten	dertent
desentral	desentralt
desidert	desidert
desimal	desimalt
desperat	desperat
despotisk	despotisk
desslike	desslike
detaljert	detaljert
detaljrik	detaljrikt
devonisk	devonisk
devot	devot
diabetisk	diabetisk
diabolsk	diabolsk
diagonal	diagonalt
diakonal	diakonalt
diakron	diakront
dialektal	dialektalt
dialytisk	dialytisk
diametral	diametralt
diatonisk	diatonisk
dickensk	dickensk
didaktisk	didaktisk
dietetisk	dietetisk
diffus	diffust
difterisk	difterisk
diger	digert
digg	digg
digital	digitalt
dikotom	dikotomt
dikt	dikt
dikterisk	dikterisk
dillet	dillet
dillete	dillete
dillkokt	dillkokt
diluvial	diluvialt
dimbar	dimbart
diminutiv	diminutivt
dimorf	dimorft
dionysisk	dionysisk
dioptrisk	dioptrisk
diploid	diploid
direkte	direkte
direktiv	direktivt
dirkefri	dirkefritt
diset	diset
disete	disete
disig	disig
disjunkt	disjunkt
diskre	diskre
diskret	diskret
diskursiv	diskursivt
disruptiv	disruptivt
dissonant	dissonant
distinkt	distinkt
distre	distre
divergent	divergent
diverse	diverse
diøcisk	diøcisk
djerv	djervt
djevla	djevla
djevlig	djevlig
djup	djupt
djupblå	djupblått
djuplendt	djuplendt
djuprød	djuprødt
djuptenkt	djuptenkt
djuptfølt	djuptfølt
dobbel	dobbelt
dobbelt	dobbelt
dogget	dogget
doggete	doggete
doggfri	doggfritt
doggfrisk	doggfriskt
dogmatisk	dogmatisk
doktrinær	doktrinært
dominant	dominant
dorisk	dorisk
dorsal	dorsalt
dorsk	dorskt
dottet	dottet
dottete	dottete
doven	dovent
drabelig	drabelig
dradd	dradd
drakonisk	drakonisk
dramatisk	dramatisk
drastisk	drastisk
dratt	dratt
dravidisk	dravidisk
dreibar	dreibart
dreielig	dreielig
drektig	drektig
dreven	drevent
driftig	driftig
drikkbar	drikkbart
drikkelig	drikkelig
drikkende	drikkende
dristig	dristig
drivelig	drivelig
drivende	drivende
drivendes	drivendes
drivhvit	drivhvitt
drivkvit	drivkvitt
droplet	droplet
droplete	droplete
drukken	drukkent
drusisk	drusisk
drustelig	drustelig
dryg	drygt
dryppefri	dryppefritt
dryppfri	dryppfritt
drømmeløs	drømmeløst
drømmende	drømmende
drøy	drøyt
dubiøs	dubiøst
dueaktig	dueaktig
dueblå	dueblått
duete	duete
duftende	duftende
dugelig	dugelig
dugende	dugende
dugget	dugget
duggete	duggete
duggfri	duggfritt
duggfrisk	duggfriskt
dugløs	dugløst
dukknakka	dukknakka
duknakka	duknakka
duknakket	duknakket
dulgt	dulgt
dump	dumpt
dumpet	dumpet
dumpete	dumpete
dumsnill	dumsnilt
dumstolt	dumstolt
dunbløt	dunbløtt
dundrende	dundrende
dunet	dunet
dunete	dunete
dunhåra	dunhåra
dunhåret	dunhåret
dunkel	dunkelt
dunkledd	dunkledd
dunlett	dunlett
dupleks	duplekst
durabel	durabelt
durabelig	durabelig
durativ	durativt
dusement	dusement
dusen	dusent
dusket	dusket
duskete	duskete
dvask	dvaskt
dyadisk	dyadisk
dydig	dydig
dydsiret	dydsiret
dyktig	dyktig
dynamisk	dynamisk
dynastisk	dynastisk
dynnet	dynnet
dynnete	dynnete
dypblå	dypblått
dypgrønn	dypgrønt
dypgående	dypgående
dyplilla	dyplilla
dyprød	dyprødt
dypsindig	dypsindig
dyptenkt	dyptenkt
dyptfølt	dyptfølt
dyrebar	dyrebart
dyregod	dyregodt
dyrekjær	dyrekjært
dyrekjøpt	dyrekjøpt
dyrisk	dyrisk
dyrkbar	dyrkbart
dyspneisk	dyspneisk
dystopisk	dystopisk
dådlaus	dådlaust
dådløs	dådløst
dådrik	dådrikt
dåraktig	dåraktig
dårlig	dårlig
dåset	dåset
dåsete	dåsete
døende	døende
døgnvill	døgnvilt
døgnåpen	døgnåpent
døll	dølt
dølsk	dølsk
dømmesjuk	dømmesjukt
dømmesyk	dømmesykt
dørgstill	dørgstilt
døsen	døsent
døsig	døsig
døvblind	døvblindt
døvblitt	døvblitt
døvfødt	døvfødt
døvhørt	døvhørt
døvstum	døvstumt
ecru	ecru
edafisk	edafisk
edbundet	edbundet
eddiksur	eddiksurt
edel	edelt
edelig	edelig
edelmodig	edelmodig
edru	edru
edruelig	edruelig
edsvoren	edsvorent
efemer	efemert
effektiv	effektivt
effektløs	effektløst
egal	egalt
egalitær	egalitært
egdsk	egdsk
egeisk	egeisk
egen	egent
egenarta	egenarta
egenartet	egenartet
egenkjær	egenkjært
egenrådig	egenrådig
egentlig	egentlig
eggeforma	eggeforma
eggende	eggende
eggforma	eggforma
eggformet	eggformet
eggformig	eggformig
eglet	eglet
eglete	eglete
egna	egna
egnet	egnet
egoistisk	egoistisk
egyptisk	egyptisk
eiegod	eiegodt
eiende	eiende
eierløs	eierløst
eiesjuk	eiesjukt
eiesnill	eiesnilt
eiesyk	eiesykt
eigenarta	eigenarta
einbølt	einbølt
einkom	einkom
einslig	einslig
eiret	eiret
eirete	eirete
eirgrønn	eirgrønt
ekkel	ekkelt
eklatant	eklatant
eklektisk	eklektisk
eksakt	eksakt
eksaltert	eksaltert
eksekutiv	eksekutivt
eksellent	eksellent
eksklusiv	eksklusivt
eksogen	eksogent
eksokrin	eksokrint
eksosfri	eksosfritt
eksoterm	eksotermt
eksotisk	eksotisk
ekspansiv	ekspansivt
eksplosiv	eksplosivt
ekstatisk	ekstatisk
ekstensiv	ekstensivt
ekstern	eksternt
ekstra	ekstra
ekstrem	ekstremt
ekte	ekte
ektefødt	ektefødt
ektefølt	ektefølt
elastisk	elastisk
eldgammal	eldgammalt
eldgammel	eldgammelt
eldhuga	eldhuga
eldre	eldre
eldst	eldst
elegant	elegant
elegisk	elegisk
elektiv	elektivt
elektrisk	elektrisk
elementær	elementært
elendig	elendig
elevert	elevert
elgsblakk	elgsblakt
elgsgrå	elgsgrått
elitær	elitært
elleveårs	elleveårs
ellevill	ellevilt
elliptisk	elliptisk
elokvent	elokvent
elsassisk	elsassisk
elskede	elskede
elskelig	elskelig
elskende	elskende
elyseisk	elyseisk
elzevirsk	elzevirsk
embryonal	embryonalt
emfatisk	emfatisk
eminent	eminent
emmen	emment
emnelig	emnelig
emotiv	emotivt
empatisk	empatisk
empirisk	empirisk
enarma	enarma
enarmet	enarmet
enatomig	enatomig
enbo	enbo
enbu	enbu
enbåren	enbårent
encella	encella
encellet	encellet
encyklisk	encyklisk
endefram	endeframt
endefrem	endefrem
endelaus	endelaust
endelig	endelig
endeløs	endeløst
endemisk	endemisk
endetil	endetil
endogen	endogent
endokrin	endokrint
endoterm	endotermt
endrektig	endrektig
